serial no,Name of Product,SKU,Product,Type of Product,Category,Collection,Description,HEIGHT,WIDTH,Metal Type,Grossweight,Metal Weight,Metal Price,Making Charges,Diamond shape,Diamond clarity,Diamond color,No. of Diamonds,Total Diamond Weight,Dia Amount For SI GH,Dia Amount For VVS EF,Gem Stone Type,Gemstone shape,No. of Gemstones,Total Gemstone Weight,Total Gemstone Amount,VAT For SI GH,Total Value of Product with SI GH,VAT For VVS EF,Total Value of Product with VVS EF,Size
1441,RG0290A,RG0290A,RINGS,CLASSICS,CLASSIC,Men's Collection,,0,0,18KT YELLOW GOLD,6.768,6.7,13896,5695,ROUND,SI,GH,16,0.34,23800,35020,,,0,0,0,434,43825,546,55157,20
1442,RG0291A,RG0291A,RINGS,CLASSICS,EXCLUSIVE,Men's Collection,,0,0,18KT YELLOW GOLD,6.306,6.2,12859,5270,ROUND,SI,GH,33,0.53,37100,54590,,,0,0,0,552,55781,727,73446,20
1443,RG0292A,RG0292A,RINGS,CLASSICS,EXCLUSIVE,Men's Collection,,0,0,18KT YELLOW GOLD,7.906,7.8,16178,5850,ROUND,SI,GH,25,0.53,37100,54590,,,0,0,0,591,59719,766,77384,20
1444,RG0293A,RG0293A,RINGS,CLASSICS,EXCLUSIVE,Daily Dazzle,,0,0,18KT PINK GOLD,3.33,3.3,6845,2805,ROUND,SI,GH,37,0.15,10500,15450,,,0,0,0,202,20352,251,25351,12
1445,RG0294A,RG0294A,RINGS,COCKTAIL,EXCLUSIVE,Daily Dazzle:Candid Celebrations,,0,0,18KT YELLOW GOLD,8.09,7.998,16589,5998,ROUND,SI,GH,27,0.46,32200,47380,,,0,0,0,548,55335,700,70667,12
1446,RG0294B,RG0294B,RINGS,COCKTAIL,EXCLUSIVE,Daily Dazzle:Candid Celebrations,,0,0,18KT PINK GOLD,8.09,7.998,16589,5998,ROUND,SI,GH,27,0.46,32200,47380,,,0,0,0,548,55335,700,70667,12
1447,RG0294C,RG0294C,RINGS,COCKTAIL,EXCLUSIVE,Daily Dazzle:Candid Celebrations,,0,0,18KT WHITE GOLD,8.09,7.998,16589,5998,ROUND,SI,GH,27,0.46,32200,47380,,,0,0,0,548,55335,700,70667,12
1448,RG0295A,RG0295A,RINGS,COCKTAIL,EXCLUSIVE,Daily Dazzle,,0,0,18KT PINK GOLD,7.228,7.2,14933,5400,ROUND,SI,GH,36,0.14,9800,14420,,,0,0,0,301,30434,348,35101,13
1449,RG0296A,RG0296A,RINGS,COCKTAIL,EXCLUSIVE,Daily Dazzle,,0,0,18KT PINK GOLD,5.346,5.2,10785,4420,ROUND,SI,GH,81,0.73,51100,75190,,,0,0,0,663,66968,904,91299,13
1450,RG0297A,RG0297A,RINGS,COCKTAIL,EXCLUSIVE,Daily Dazzle:Floral Fantasy,,0,0,18KT YELLOW GOLD,4.814,4.7,9748,3995,ROUND,SI,GH,37,0.57,39900,58710,,,0,0,0,536,54179,725,73178,13
1451,RG0298A,RG0298A,RINGS,COCKTAIL,EXCLUSIVE,Daily Dazzle:Floral Fantasy,,0,0,18KT YELLOW GOLD,4.284,4.2,8711,3570,ROUND,SI,GH,25,0.42,29400,43260,,,0,0,0,417,42098,555,56096,13
1452,RG0299A,RG0299A,RINGS,CLASSICS,CLASSIC,Men's Collection,,0,0,18KT YELLOW GOLD,9.64,9.5,19704,7125,ROUND,SI,GH,16,0.7,49000,72100,,,0,0,0,758,76587,989,99918,20
1453,RG0300A,RG0300A,RINGS,ENGAGEMENT:WEDDING,PREMIUM,Daily Dazzle:Sensuous Solitaires,,0,0,18KT YELLOW GOLD,3.51,3.418,7089,2905,ROUND,SI,GH,3,0.46,44290,55800,,,0,0,0,543,54827,658,66452,13
1454,RG0301A,RG0301A,RINGS,ENGAGEMENT:WEDDING,PREMIUM,Daily Dazzle:Sensuous Solitaires,,0,0,18KT YELLOW GOLD,3.862,3.8,7882,3230,ROUND,SI,GH,5,0.31,32950,39930,,,0,0,0,441,44503,510,51552,13
1455,RG0302A,RG0302A,RINGS,ENGAGEMENT:WEDDING,PREMIUM,Daily Dazzle:Sensuous Solitaires,,0,0,18KT WHITE GOLD,4.786,4.7,9748,3995,ROUND,SI,GH,13,0.43,41350,52290,,,0,0,0,551,55644,660,66693,13
1456,RG0303A,RG0303A,RINGS,ENGAGEMENT:WEDDING,PREMIUM,Daily Dazzle:Sensuous Solitaires,,0,0,18KT WHITE GOLD,3.208,3.1,6430,2635,ROUND,SI,GH,11,0.54,49050,63620,,,0,0,0,581,58696,727,73412,13
