serial no,Name of Product,SKU,Product,Type of Product,Category,Collection,Description,HEIGHT,WIDTH,Metal Type,Grossweight,Metal Weight,Metal Price,Making Charges,Diamond shape,Diamond clarity,Diamond color,No. of Diamonds,Total Diamond Weight,Dia Amount For SI GH,Dia Amount For VVS EF,Gem Stone Type,Gemstone shape,No. of Gemstones,Total Gemstone Weight,Total Gemstone Amount,VAT For SI GH,Total Value of Product with SI GH,VAT For VVS EF,Total Value of Product with VVS EF,Size
292,ER0078A,ER0078A,EARRINGS,STUDS/DROPS,CLASSIC,Drops & Domes:Floral Fantasy:Glitz & Gold:Irresistible Illusions,,24,12.5,18KT YELLOW GOLD,5.45,2.558,5306,2430,ROUND,SI,GH,14,0.11,7700,11330,BRIGHT GOLD PEARL,ROUND,2,14.35,1794,172,17402,209,21069,
293,PD1290A,PD1290A,PENDANTS,FASHION,CLASSIC,Glitz & Gold:Daily Dazzle,,18.68,13.11,18KT YELLOW GOLD,2.99,2.928,6073,2782,ROUND,SI,GH,53,0.31,21700,31930,,,0,0,0,306,30861,408,41193,
294,ER1153A,ER1153A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Romancing Rocks,,42.5,19.3,18KT YELLOW GOLD,18.8,18.064,37466,13548,ROUND,SI,GH,190,1.28,89600,131840,"RAINFOREST GREEN TOPAZ,RHODOLITE","PEAR,PEAR",10,2.4,7200,1478,149292,1901,191955,
295,ER1282A,ER1282A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Daily Dazzle:Glitz & Gold:Romancing Rocks,,18.4,8.4,18KT YELLOW GOLD,4.85,4.642,9628,3946,ROUND,SI,GH,14,0.23,16100,23690,AMETHYST,OVAL,2,0.81,2835,325,32834,401,40500,
296,PD1208A,PD1208A,PENDANTS,CASUAL:OFFICE WEAR,CLASSIC,Daily Dazzle:Romancing Rocks,,11.76,8.41,18KT YELLOW GOLD,0.804,0.548,1137,521,ROUND,SI,GH,21,0.13,9100,13390,AMETHYST,OVAL,1,1.15,2300,131,13189,173,17521,
297,ER1208A,ER1208A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Drops & Domes,,26.93,8.56,18KT YELLOW GOLD,4.408,3.846,7977,3269,ROUND,SI,GH,66,0.37,25900,38110,AMETHYST,OVAL,2,2.44,4880,420,42446,542,54778,
298,PD0590A,PD0590A,PENDANTS,FASHION,CLASSIC,Candid Celebrations:Daily Dazzle:Drops & Domes:Glitz & Gold,,31.9,16.13,18KT YELLOW GOLD,4.38,3.426,7106,2912,ROUND,SI,GH,18,0.25,17500,25750,"RAINFOREST GREEN TOPAZ,CREAM PEARL","PEAR,ROUND",2,4.52,2234,298,30050,380,38382,
299,ER0590A,ER0590A,EARRINGS,STUDS/DROPS,CLASSIC,Drops & Domes:Glitz & Gold:Romancing Rocks,,25.44,11.81,18KT YELLOW GOLD,7.43,5.854,12142,4976,ROUND,SI,GH,30,0.23,16100,23690,"RAINFOREST GREEN TOPAZ,CREAM PEARL","PEAR,ROUND",4,7.65,1991,352,35561,428,43227,
300,ER1268A,ER1268A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Black Beauty:Candid Celebrations:Glitz & Gold:Romancing Rocks,,50,15,18KT YELLOW GOLD,14.12,11.394,23632,8546,ROUND,SI,GH,122,0.75,52500,77250,"SMOKY QUARTZ,RAINFOREST GREEN TOPAZ,CREAM PEARL","PEAR,PEAR,ROUND",6,12.88,5595,903,91176,1150,116173,
301,BR0010A,BR0010A,BRACELETS,OVAL,CLASSIC,Candid Celebrations:Glitz & Gold,,50,60,18KT YELLOW GOLD,15.36,15.252,31634,11439,ROUND,SI,GH,116,0.54,37800,55620,,,0,0,0,809,81682,987,99680,
302,BR0012A,BR0012A,BRACELETS,OVAL,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,50,60,18KT YELLOW GOLD,14.22,14.012,29062,10509,ROUND,SI,GH,59,0.38,26600,39140,SWAROVSKI RED,ROUND,65,0.66,3250,694,70115,820,82781,
303,BR0002A,BR0002A,BRACELETS,TENNIS,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT YELLOW GOLD,10.7,10.63,22048,7973,ROUND,SI,GH,104,0.35,24500,36050,,,0,0,0,545,55066,661,66732,
304,BR0015A,BR0015A,BRACELETS,OVAL,CLASSIC,Daily Dazzle:Floral Fantasy:Glitz & Gold,,45,55,18KT YELLOW GOLD,9.2,9.108,18891,6831,ROUND,SI,GH,102,0.46,32200,47380,,,0,0,0,579,58501,731,73833,
305,BR0011A,BR0011A,BRACELETS,OVAL,CLASSIC,Candid Celebrations:Glitz & Gold,,50,60,18KT YELLOW GOLD,14.56,14.426,29921,10820,ROUND,SI,GH,194,0.67,46900,69010,,,0,0,0,876,88517,1098,110849,
306,ER1122A,ER1122A,EARRINGS,STUDS/DROPS:CHANDELIERS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,58.19,11.7,18KT YELLOW GOLD,21.21,18.848,39092,14136,ROUND,SI,GH,78,0.52,36400,53560,"CREAM PEARL,CREAM PEARL","ROUND,ROUND",22,11.29,2911,925,93464,1097,110796,
307,PD1459A,PD1459A,PENDANTS,FASHION,CLASSIC,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,26.19,17.04,18KT YELLOW GOLD,2.928,2.788,5783,2649,ROUND,SI,GH,60,0.5,35000,51500,KASHMIR BLUE TOPAZ,PEAR,1,0.2,600,440,44472,605,61137,
308,ER1560B,ER1560B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,20.46,10.61,18KT PINK GOLD,4.45,4.378,9080,3721,ROUND,SI,GH,36,0.36,25200,37080,,,0,0,0,380,38381,499,50380,
309,ER1561A,ER1561A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,17.65,7.13,18KT YELLOW GOLD,3.77,3.686,7645,3133,ROUND,SI,GH,36,0.42,29400,43260,,,0,0,0,402,40580,540,54578,
310,ER1561B,ER1561B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,17.65,7.13,18KT PINK GOLD,3.77,3.686,7645,3133,ROUND,SI,GH,36,0.42,29400,43260,,,0,0,0,402,40580,540,54578,
311,ER1562A,ER1562A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,28.73,10.05,18KT YELLOW GOLD,6.12,6.004,12453,5103,ROUND,SI,GH,44,0.58,40600,59740,,,0,0,0,582,58738,773,78069,
312,ER1562B,ER1562B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,28.73,10.05,18KT PINK GOLD,6.12,6.004,12453,5103,ROUND,SI,GH,44,0.58,40600,59740,,,0,0,0,582,58738,773,78069,
313,ER1563A,ER1563A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,20.44,10.42,18KT YELLOW GOLD,3.83,3.752,7782,3189,ROUND,SI,GH,42,0.39,27300,40170,,,0,0,0,383,38654,511,51652,
314,ER1563B,ER1563B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,20.44,10.42,18KT PINK GOLD,3.83,3.752,7782,3189,ROUND,SI,GH,42,0.39,27300,40170,,,0,0,0,383,38654,511,51652,
315,ER1564A,ER1564A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,19.35,6.54,18KT YELLOW GOLD,3.46,3.386,7023,2878,ROUND,SI,GH,40,0.37,25900,38110,,,0,0,0,358,36159,480,48491,
316,ER1564B,ER1564B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,19.35,6.54,18KT PINK GOLD,3.46,3.386,7023,2878,ROUND,SI,GH,40,0.37,25900,38110,,,0,0,0,358,36159,480,48491,
317,ER1565A,ER1565A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,18.91,12.1,18KT YELLOW GOLD,3.97,3.862,8010,3283,ROUND,SI,GH,48,0.54,37800,55620,,,0,0,0,491,49584,669,67582,
318,ER1565B,ER1565B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,18.91,12.11,18KT PINK GOLD,3.97,3.862,8010,3283,ROUND,SI,GH,48,0.54,37800,55620,,,0,0,0,491,49584,669,67582,
319,ER1566A,ER1566A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,21.01,13.1,18KT YELLOW GOLD,5.13,4.976,10321,4230,ROUND,SI,GH,54,0.77,53900,79310,,,0,0,0,685,69136,939,94800,
320,ER1566B,ER1566B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,21.01,13.1,18KT PINK GOLD,5.13,4.976,10321,4230,ROUND,SI,GH,54,0.77,53900,79310,,,0,0,0,685,69136,939,94800,
321,ER1567A,ER1567A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,20.45,6.86,18KT YELLOW GOLD,4.32,4.244,8802,3607,ROUND,SI,GH,36,0.38,26600,39140,,,0,0,0,390,39399,515,52064,
322,ER1567B,ER1567B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,20.45,6.86,18KT PINK GOLD,4.32,4.244,8802,3607,ROUND,SI,GH,36,0.38,26600,39140,,,0,0,0,390,39399,515,52064,
323,ER1568A,ER1568A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,21.68,12.8,18KT YELLOW GOLD,5.23,5.146,10673,4374,ROUND,SI,GH,32,0.42,29400,43260,,,0,0,0,444,44891,583,58890,
324,ER1568B,ER1568B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,21.68,12.8,18KT PINK GOLD,5.23,5.146,10673,4374,ROUND,SI,GH,32,0.42,29400,43260,,,0,0,0,444,44891,583,58890,
325,ER1569A,ER1569A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,19.8,7.92,18KT YELLOW GOLD,4.16,4.094,8491,3480,ROUND,SI,GH,38,0.33,23100,33990,,,0,0,0,351,35422,460,46421,
326,ER1569B,ER1569B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,19.8,7.92,18KT PINK GOLD,4.16,4.094,8491,3480,ROUND,SI,GH,38,0.33,23100,33990,,,0,0,0,351,35422,460,46421,
327,ER1570A,ER1570A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Floral Fantasy,,7.97,7.97,18KT YELLOW GOLD,2.74,2.63,5455,2498,ROUND,VVS,EF,18,0.55,39140,56970,,,0,0,0,471,47564,649,65572,
328,ER1577A,ER1577A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle,,10.63,5.21,18KT YELLOW GOLD,2.41,2.338,4849,2221,ROUND,VVS,EF,12,0.36,25200,37080,,,0,0,0,323,32593,442,44592,
329,ER1571A,ER1571A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Irresistible Illusions,,5.45,5.45,18KT YELLOW GOLD,1.47,1.44,2987,1368,ROUND,VVS,EF,20,0.15,10500,15450,,,0,0,0,149,15004,198,20003,
330,ER0147B,ER0147B,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Drops & Domes:Glitz & Gold,,25.5,10,18KT YELLOW GOLD,5.29,1.49,3090,1416,ROUND,VVS,EF,44,0.2,14000,20600,PINK CORAL,ROUND,2,18.8,2350,209,21065,275,27731,
331,ER1576A,ER1576A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Symmetric Splendour,,8.01,8.01,18KT YELLOW GOLD,1.96,1.92,3982,1824,ROUND,VVS,EF,26,0.2,14000,20600,,,0,0,0,198,20004,264,26670,
332,ER1575A,ER1575A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Glitz & Gold,,14.06,9.71,18KT YELLOW GOLD,3.26,3.23,6699,2746,ROUND,VVS,EF,28,0.15,10500,15450,,,0,0,0,199,20144,249,25144,
333,ER1572A,ER1572A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Glitz & Gold,,10.28,7.66,18KT YELLOW GOLD,2.66,2.622,5438,2491,ROUND,VVS,EF,40,0.19,13300,19570,,,0,0,0,212,21441,275,27774,
334,RG0006A,RG0006A,RINGS,CLASSICS:ENGAGEMENT:WEDDING,CLASSIC,Daily Dazzle:Glitz & Gold:Irresistible Illusions,,0,0,18KT WHITE GOLD,4.47,4.386,9097,3728,ROUND,SI,GH,25,0.42,29400,43260,,,0,0,0,422,42647,561,56646,13
335,RG0049A,RG0049A,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT YELLOW GOLD,3.73,3.712,7699,3155,ROUND,SI,GH,1,0.09,6660,9450,,,0,0,0,175,17689,203,20507,13
336,RG0049B,RG0049B,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT PINK GOLD,3.726,3.708,7691,3152,ROUND,SI,GH,1,0.09,6660,9450,,,0,0,0,175,17678,203,20496,13
337,RG0093A,RG0093A,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Glitz & Gold:Irresistible Illusions,,0,0,18KT YELLOW GOLD,3.52,3.458,7172,2939,ROUND,SI,GH,24,0.31,21700,31930,,,0,0,0,318,32129,420,42461,13
338,RG0093B,RG0093B,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Glitz & Gold:Irresistible Illusions,,0,0,18KT WHITE GOLD,3.52,3.458,7172,2939,ROUND,SI,GH,24,0.31,21700,31930,,,0,0,0,318,32129,420,42461,13
339,RG0093C,RG0093C,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Glitz & Gold:Irresistible Illusions,,0,0,18KT PINK GOLD,3.52,3.458,7172,2939,ROUND,SI,GH,24,0.31,21700,31930,,,0,0,0,318,32129,420,42461,13
340,RG0099A,RG0099A,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT YELLOW GOLD,4.51,4.5,9333,3825,ROUND,SI,GH,1,0.05,3500,5150,,,0,0,0,167,16825,183,18491,13
341,RG0100A,RG0100A,RINGS,BAND:ENGAGEMENT:WEDDING,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT YELLOW GOLD,7.41,7.376,15298,5532,ROUND,SI,GH,22,0.17,11900,17510,,,0,0,0,327,33057,383,38723,13
342,RG0100B,RG0100B,RINGS,BAND:ENGAGEMENT:WEDDING,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT WHITE GOLD,7.41,7.376,15298,5532,ROUND,SI,GH,22,0.17,11900,17510,,,0,0,0,327,33057,383,38723,13
343,RG0100C,RG0100C,RINGS,BAND:ENGAGEMENT:WEDDING,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT PINK GOLD,7.41,7.376,15298,5532,ROUND,SI,GH,22,0.17,11900,17510,,,0,0,0,327,33057,383,38723,13
344,RG0109A,RG0109A,RINGS,BAND:ENGAGEMENT:WEDDING,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT YELLOW GOLD,5.53,5.49,11387,4666,ROUND,SI,GH,23,0.2,14000,20600,,,0,0,0,301,30354,367,37020,13
345,RG0109B,RG0109B,RINGS,BAND:ENGAGEMENT:WEDDING,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT WHITE GOLD,5.53,5.49,11387,4666,ROUND,SI,GH,23,0.2,14000,20600,,,0,0,0,301,30354,367,37020,13
346,RG0109C,RG0109C,RINGS,BAND:ENGAGEMENT:WEDDING,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT PINK GOLD,5.53,5.49,11387,4666,ROUND,SI,GH,23,0.2,14000,20600,,,0,0,0,301,30354,367,37020,13
347,RG0111A,RG0111A,RINGS,BAND,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT YELLOW GOLD,6.546,6.5,13482,5525,ROUND,SI,GH,20,0.23,16100,23690,,,0,0,0,351,35458,427,43124,13
348,RG0111B,RG0111B,RINGS,BAND,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT PINK GOLD,6.546,6.5,13482,5525,ROUND,SI,GH,20,0.23,16100,23690,,,0,0,0,351,35458,427,43124,13
349,RG0117A,RG0117A,RINGS,BAND,CLASSIC,Daily Dazzle:Glitz & Gold:Symmetric Splendour,,0,0,18KT YELLOW GOLD,3.98,3.95,8193,3358,ROUND,SI,GH,3,0.15,10500,15450,,,0,0,0,221,22272,270,27271,13
350,RG0117B,RG0117B,RINGS,BAND,CLASSIC,Daily Dazzle:Glitz & Gold:Symmetric Splendour,,0,0,18KT WHITE GOLD,3.98,3.95,8193,3358,ROUND,SI,GH,3,0.15,10500,15450,,,0,0,0,221,22272,270,27271,13
351,RG0117C,RG0117C,RINGS,BAND,CLASSIC,Daily Dazzle:Glitz & Gold:Symmetric Splendour,,0,0,18KT PINK GOLD,3.98,3.95,8193,3358,ROUND,SI,GH,3,0.15,10500,15450,,,0,0,0,221,22272,270,27271,13
352,RG0118A,RG0118A,RINGS,BAND,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT YELLOW GOLD,4.13,4.116,8537,3499,ROUND,SI,GH,3,0.07,4900,7210,,,0,0,0,169,17105,192,19438,13
353,RG0118B,RG0118B,RINGS,BAND,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT WHITE GOLD,4.13,4.116,8537,3499,ROUND,SI,GH,3,0.07,4900,7210,,,0,0,0,169,17105,192,19438,13
354,RG0118C,RG0118C,RINGS,BAND,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT PINK GOLD,4.13,4.116,8537,3499,ROUND,SI,GH,3,0.07,4900,7210,,,0,0,0,169,17105,192,19438,13
355,RG0119A,RG0119A,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Black Beauty,,0,0,18KT WHITE GOLD,6.35,6.17,12797,5244,ROUND,SI,GH,88,0.53,37100,54590,BLACK SPINEL,ROUND,36,0.37,1800,569,57510,744,75175,12
356,RG0121A,RG0121A,RINGS,BAND,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT YELLOW GOLD,6.06,6.026,12498,5122,ROUND,SI,GH,33,0.17,11900,17510,,,0,0,0,295,29815,351,35481,13
357,RG0121B,RG0121B,RINGS,BAND,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT WHITE GOLD,6.06,6.026,12498,5122,ROUND,SI,GH,33,0.17,11900,17510,,,0,0,0,295,29815,351,35481,13
358,RG0121C,RG0121C,RINGS,BAND,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT PINK GOLD,6.06,6.026,12498,5122,ROUND,SI,GH,33,0.17,11900,17510,,,0,0,0,295,29815,351,35481,13
359,RG0129A,RG0129A,RINGS,CLASSICS,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour,,0,0,18KT WHITE GOLD,5.998,5.9,12237,5015,ROUND,SI,GH,25,0.49,34300,50470,,,0,0,0,516,52068,677,68399,13
360,RG0129B,RG0129B,RINGS,CLASSICS,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour,,0,0,18KT YELLOW GOLD,5.998,5.9,12237,5015,ROUND,SI,GH,25,0.49,34300,50470,,,0,0,0,516,52068,677,68399,13
361,RG0130A,RG0130A,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Floral Fantasy,,0,0,18KT YELLOW GOLD,4.54,4.5,9333,3825,ROUND,SI,GH,25,0.2,14000,20600,,,0,0,0,272,27430,338,34096,13
362,RG0130B,RG0130B,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Floral Fantasy,,0,0,18KT WHITE GOLD,4.54,4.5,9333,3825,ROUND,SI,GH,25,0.2,14000,20600,,,0,0,0,272,27430,338,34096,13
363,RG0130C,RG0130C,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Floral Fantasy,,0,0,18KT PINK GOLD,4.54,4.5,9333,3825,ROUND,SI,GH,25,0.2,14000,20600,,,0,0,0,272,27430,338,34096,13
364,RG0131A,RG0131A,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Floral Fantasy,,0,0,18KT YELLOW GOLD,4.91,4.872,10105,4141,ROUND,SI,GH,35,0.19,13300,19570,,,0,0,0,275,27821,338,34154,13
365,RG0131B,RG0131B,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Floral Fantasy,,0,0,18KT WHITE GOLD,4.91,4.872,10105,4141,ROUND,SI,GH,35,0.19,13300,19570,,,0,0,0,275,27821,338,34154,13
366,RG0131C,RG0131C,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Floral Fantasy,,0,0,18KT PINK GOLD,4.91,4.872,10105,4141,ROUND,SI,GH,35,0.19,13300,19570,,,0,0,0,275,27821,338,34154,13
367,RG0137A,RG0137A,RINGS,CLASSICS,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour,,0,0,18KT YELLOW GOLD,4.29,4.232,8778,3597,ROUND,SI,GH,36,0.29,20300,29870,,,0,0,0,327,33002,422,42667,12
368,RG0138A,RG0138A,RINGS,CLASSICS:ENGAGEMENT:WEDDING,CLASSIC,Daily Dazzle:Glitz & Gold:Irresistible Illusions,,0,0,18KT WHITE GOLD,5.126,5,10370,4250,ROUND,SI,GH,27,0.63,44100,64890,,,0,0,0,587,59307,795,80305,11
369,RG0141A,RG0141A,RINGS,CLASSICS:ENGAGEMENT:WEDDING,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Irresistible Illusions,,0,0,18KT YELLOW GOLD,4.55,4.454,9238,3786,ROUND,SI,GH,65,0.48,33600,49440,,,0,0,0,466,47090,625,63089,13
370,RG0141B,RG0141B,RINGS,CLASSICS:ENGAGEMENT:WEDDING,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Irresistible Illusions,,0,0,18KT WHITE GOLD,4.55,4.454,9238,3786,ROUND,SI,GH,65,0.48,33600,49440,,,0,0,0,466,47090,625,63089,13
371,RG0141C,RG0141C,RINGS,CLASSICS:ENGAGEMENT:WEDDING,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Irresistible Illusions,,0,0,18KT PINK GOLD,4.55,4.454,9238,3786,ROUND,SI,GH,65,0.48,33600,49440,,,0,0,0,466,47090,625,63089,13
372,RG0142A,RG0142A,RINGS,CLASSICS,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,6.46,6.326,13121,5377,ROUND,SI,GH,45,0.37,25900,38110,BLAZING RED TOPAZ,ROUND,1,0.3,900,453,45751,575,58083,13
373,RG0143A,RG0143A,RINGS,CLASSICS:COCKTAIL,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,5.49,5.268,10926,4478,ROUND,SI,GH,98,0.51,35700,52530,RAINFOREST GREEN TOPAZ,PRINCESS,1,0.6,1200,523,52827,691,69825,12
374,RG0143B,RG0143B,RINGS,CLASSICS:COCKTAIL,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,5.49,5.274,10939,4483,ROUND,SI,GH,98,0.51,35700,52530,BLAZING RED TOPAZ,PRINCESS,1,0.57,1140,523,52785,691,69783,12
375,RG0143C,RG0143C,RINGS,CLASSICS:COCKTAIL,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,5.49,5.272,10935,4481,ROUND,SI,GH,98,0.51,35700,52530,KASHMIR BLUE TOPAZ,PRINCESS,1,0.58,1160,523,52799,691,69797,12
376,RG0146A,RG0146A,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Glitz & Gold:Romancing Rocks:Floral Fantasy,,0,0,18KT YELLOW GOLD,4.15,3.984,8263,3386,ROUND,SI,GH,32,0.5,35000,51500,RAINFOREST GREEN TOPAZ,ROUND,1,0.33,990,476,48115,641,64780,12
377,RG0146B,RG0146B,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Glitz & Gold:Romancing Rocks:Floral Fantasy,,0,0,18KT YELLOW GOLD,4.15,3.99,8276,3392,ROUND,SI,GH,32,0.5,35000,51500,BLAZING RED TOPAZ,ROUND,1,0.3,900,476,48044,641,64709,12
378,RG0147A,RG0147A,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Glitz & Gold:Romancing Rocks,,0,0,18KT YELLOW GOLD,3.41,3.34,6927,2839,ROUND,SI,GH,10,0.13,9100,13390,BLAZING RED TOPAZ,OVAL,1,0.22,770,196,19832,239,24165,13
379,RG0148A,RG0148A,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Glitz & Gold:Romancing Rocks,,0,0,18KT YELLOW GOLD,2.95,2.84,5890,2698,ROUND,SI,GH,6,0.12,8400,12360,RAINFOREST GREEN TOPAZ,OVAL,1,0.43,1505,185,18678,225,22678,12
380,RG0150A,RG0150A,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Glitz & Gold:Romancing Rocks,,0,0,18KT YELLOW GOLD,4.61,4.442,9213,3776,ROUND,SI,GH,60,0.48,33600,49440,AMETHYST,OVAL,1,0.36,1260,478,48327,637,64326,13
381,RG0151A,RG0151A,RINGS,CLASSICS,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,5.08,4.912,10188,4175,ROUND,SI,GH,26,0.39,27300,40170,KASHMIR BLUE TOPAZ,OVAL,1,0.45,1575,432,43670,561,56669,13
382,RG0152A,RG0152A,RINGS,COCKTAIL,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,4.79,4.382,9089,3725,ROUND,SI,GH,40,0.36,25200,37080,KASHMIR BLUE TOPAZ,OCTAGON,1,1.68,1512,395,39921,514,51920,12
383,RG0152B,RG0152B,RINGS,COCKTAIL,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,4.79,4.346,9014,3694,ROUND,SI,GH,40,0.36,25200,37080,BLAZING RED TOPAZ,OCTAGON,1,1.86,1674,396,39978,515,51977,12
