sku,grade,size,quantity
ER0508A,SI-GH,,BANGALORE=1
PD0500A,SI-GH,,BANGALORE=1
PD0501A,SI-GH,,BANGALORE=1
ER0518A,SI-GH,,BANGALORE=3
ER0522A,VVS-EF,,BANGALORE=2
ER0522A,SI-GH,,BANGALORE=2
PD0514A,SI-GH,,BANGALORE=1
ER0539A,SI-GH,,BANGALORE=1
ER0543A,SI-GH,,BANGALORE=1
ER0545A,SI-GH,,BANGALORE=1
ER0547A,SI-GH,,BANGALORE=1
ER0548A,SI-GH,,BANGALORE=1
ER0551A,SI-GH,,BANGALORE=1
ER0552A,SI-GH,,BANGALORE=1
ER0554A,SI-GH,,BANGALORE=1
ER0556A,SI-GH,,BANGALORE=1
ER0558A,SI-GH,,BANGALORE=1
ER0560A,SI-GH,,BANGALORE=1
ER0567A,SI-GH,,BANGALORE=1
ER0568A,SI-GH,,BANGALORE=1
ER0571A,SI-GH,,BANGALORE=1
ER0574A,VVS-EF,,BLR1=1
ER0575A,SI-GH,,BANGALORE=1
PD0566A,SI-GH,,BANGALORE=1;BLR1=1
ER0577A,SI-GH,,BANGALORE=1
ER0579A,SI-GH,,BANGALORE=1
ER0581A,SI-GH,,BANGALORE=1
ER0592A,SI-GH,,BANGALORE=1
ER0595A,SI-GH,,BANGALORE=1
ER0596A,SI-GH,,BANGALORE=1
ER0597A,SI-GH,,BANGALORE=1
ER0598A,SI-GH,,BANGALORE=1
ER0599A,SI-GH,,BANGALORE=1
ER0601A,SI-GH,,BANGALORE=1
ER0602A,SI-GH,,BANGALORE=1
ER0603A,SI-GH,,BANGALORE=1
ER0605A,SI-GH,,BANGALORE=1
ER0606A,SI-GH,,BANGALORE=1
ER0607A,SI-GH,,BANGALORE=1
ER0608A,SI-GH,,BANGALORE=1
ER0628A,SI-GH,,BANGALORE=2
ER0630A,SI-GH,,BANGALORE=1
ER0631A,SI-GH,,BANGALORE=1
ER0632A,SI-GH,,BANGALORE=1
ER0638A,SI-GH,,BANGALORE=1
ER0639A,SI-GH,,BANGALORE=1
ER0657A,SI-GH,,BANGALORE=1
ER0658A,SI-GH,,BANGALORE=1
ER0659A,SI-GH,,BANGALORE=1
ER0662A,SI-GH,,BANGALORE=1
ER0663A,SI-GH,,BANGALORE=1
ER0673A,SI-GH,,BANGALORE=1
ER0674A,SI-GH,,BANGALORE=1
PD0698A,SI-GH,,BANGALORE=1
PD0702A,SI-GH,,BANGALORE=1
PD0705A,SI-GH,,BANGALORE=1;BLR1=1
PD0708A,SI-GH,,BANGALORE=1;BLR1=1
ER1002A,SI-GH,,BANGALORE=1
ER1006A,SI-GH,,BANGALORE=1
ER1010A,SI-GH,,BANGALORE=1
ER1012A,SI-GH,,BANGALORE=1
ER1013A,SI-GH,,BANGALORE=1
ER1015A,SI-GH,,BANGALORE=1
ER1017A,SI-GH,,BANGALORE=1
ER1019A,SI-GH,,BANGALORE=1
ER1020A,SI-GH,,BANGALORE=1
ER1022A,SI-GH,,BANGALORE=1
ER1024A,SI-GH,,BANGALORE=1
ER1026A,SI-GH,,BANGALORE=1
ER1027A,SI-GH,,BANGALORE=1
ER1030A,SI-GH,,BANGALORE=1
ER1036A,SI-GH,,BANGALORE=1
ER1040A,SI-GH,,BANGALORE=1
ER1046A,SI-GH,,BANGALORE=1
ER1047A,SI-GH,,BANGALORE=1
ER1048A,SI-GH,,BANGALORE=1
ER1051A,SI-GH,,BANGALORE=1
ER1052A,SI-GH,,BANGALORE=1
ER1053A,SI-GH,,BANGALORE=1
ER1054A,SI-GH,,BANGALORE=1
ER1055A,SI-GH,,BANGALORE=1
ER1056A,SI-GH,,BANGALORE=1
ER1057A,SI-GH,,BANGALORE=1
ER1059A,SI-GH,,BANGALORE=1
ER1060A,SI-GH,,BANGALORE=1
ER1068A,SI-GH,,BANGALORE=1
ER1070A,SI-GH,,BANGALORE=1
ER1071A,SI-GH,,BANGALORE=1
ER1072A,SI-GH,,BANGALORE=1
ER1073A,SI-GH,,BANGALORE=1
ER1075A,SI-GH,,BANGALORE=1
ER1081A,SI-GH,,BANGALORE=1
ER1082A,SI-GH,,BANGALORE=1
ER1083A,SI-GH,,BANGALORE=1
ER1086A,SI-GH,,BANGALORE=1
ER1088A,SI-GH,,BANGALORE=1
ER1089A,SI-GH,,BANGALORE=1
ER1090A,SI-GH,,BANGALORE=1
ER1091A,SI-GH,,BANGALORE=1
ER1093A,SI-GH,,BANGALORE=1
ER1094A,SI-GH,,BANGALORE=1
ER1096A,SI-GH,,BANGALORE=1
ER1098A,SI-GH,,BANGALORE=1
ER1099A,SI-GH,,BANGALORE=1
ER1102A,SI-GH,,BANGALORE=1
ER1104A,SI-GH,,BANGALORE=1
ER1105A,SI-GH,,BANGALORE=1
ER1106A,SI-GH,,BANGALORE=1
ER1107A,SI-GH,,BANGALORE=1
ER1108A,SI-GH,,BANGALORE=1
ER1109A,SI-GH,,BANGALORE=1
ER1110A,SI-GH,,BANGALORE=1
